scenario_type,scenario,eligible_buckets,bet_size,starting_bankroll,tracked_packages_total,tracked_packages_open_unknown,resolved_candidates,trades_taken,middles,floors,zeros,middle_rate,gross_staked,gross_payout,profit,final_equity,roi_pct,turnover_x,max_capital_used,simulation_days,annualized_return_pct,notes
blend,blend_high_1.25_2.00,1.25-2.00,90,10000.0,603,594,9,9,7,2,0,0.7777777777777778,810,770.62,-39.38,9960.62,-0.3938,0.081,810,1.0,-76.31,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_high_1.25_2.00,1.25-2.00,100,10000.0,603,594,9,9,7,2,0,0.7777777777777778,900,856.24,-43.76,9956.24,-0.4376,0.09,900,1.0,-79.82,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_high_1.25_2.00,1.25-2.00,150,10000.0,603,594,9,9,7,2,0,0.7777777777777778,1350,1284.36,-65.64,9934.36,-0.6564,0.135,1350,1.0,-90.96,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_high_1.25_2.00,1.25-2.00,200,10000.0,603,594,9,9,7,2,0,0.7777777777777778,1800,1712.48,-87.52,9912.48,-0.8752,0.18,1800,1.0,-95.96,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,10,10000.0,395,387,8,8,1,7,0,0.125,80,81.78,1.78,10001.78,0.0178,0.008,80,1.0,6.72,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,20,10000.0,395,387,8,8,1,7,0,0.125,160,163.56,3.56,10003.56,0.0356,0.016,160,1.0,13.88,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,30,10000.0,395,387,8,8,1,7,0,0.125,240,245.34,5.34,10005.34,0.0534,0.024,240,1.0,21.53,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,40,10000.0,395,387,8,8,1,7,0,0.125,320,327.12,7.12,10007.12,0.0712,0.032,320,1.0,29.68,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,50,10000.0,395,387,8,8,1,7,0,0.125,400,408.9,8.9,10008.9,0.089,0.04,400,1.0,38.38,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,60,10000.0,395,387,8,8,1,7,0,0.125,480,490.69,10.69,10010.69,0.1069,0.048,480,1.0,47.67,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,70,10000.0,395,387,8,8,1,7,0,0.125,560,572.47,12.47,10012.47,0.1247,0.056,560,1.0,57.57,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,80,10000.0,395,387,8,8,1,7,0,0.125,640,654.25,14.25,10014.25,0.1425,0.064,640,1.0,68.14,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,90,10000.0,395,387,8,8,1,7,0,0.125,720,736.03,16.03,10016.03,0.1603,0.072,720,1.0,79.42,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,100,10000.0,395,387,8,8,1,7,0,0.125,800,817.81,17.81,10017.81,0.1781,0.08,800,1.0,91.44,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,150,10000.0,395,387,8,8,1,7,0,0.125,1200,1226.71,26.71,10026.71,0.2671,0.12,1200,1.0,164.78,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
blend,blend_positive_prior_1.05_1.25,1.05-1.10|1.10-1.16|1.16-1.25,200,10000.0,395,387,8,8,1,7,0,0.125,1600,1635.62,35.62,10035.62,0.3562,0.16,1600,1.0,266.09,realized tracked sample only; open/unresolved tracked packages excluded; 1-day turnover APY approximation
