packageId,bucket,cost,bestObserved,firstObserved,endDate,eventSlug,asset,source,gateOk,availableSize,minShares,payoutMultiple
mlb-sf-mia-2026-06-20::YES-2609044+NO-2609045,1.10-1.16,1.13,2026-06-20T19:37:38.799000Z,2026-06-20T14:42:22.852000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,30.0,10.0,1
mlb-mil-atl-2026-06-20::YES-2610286+NO-2610287,1.10-1.16,1.12,2026-06-20T19:38:26.507000Z,2026-06-20T14:58:19.057000Z,2026-06-20T20:10:00Z,mlb-mil-atl-2026-06-20,MLB,middle_or_snapshot_audit,False,221.0,10.0,1
mlb-bal-lad-2026-06-20::YES-2614494+NO-2609737,1.25-2.00,1.29,2026-06-20T19:39:55.761000Z,2026-06-20T12:15:16.785000Z,2026-06-21T02:10:00Z,mlb-bal-lad-2026-06-20,MLB,middle_or_snapshot_audit,False,0.76,10.0,1
mlb-bal-lad-2026-06-20::YES-2614494+NO-2614497,1.25-2.00,1.3900000000000001,2026-06-20T19:39:55.761000Z,2026-06-20T12:15:16.785000Z,2026-06-21T02:10:00Z,mlb-bal-lad-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,1
mlb-mil-atl-2026-06-20::YES-2610286+NO-2610289,1.25-2.00,1.42,2026-06-20T19:40:56.060000Z,2026-06-20T14:58:19.057000Z,2026-06-20T20:10:00Z,mlb-mil-atl-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,2
mlb-mil-atl-2026-06-20::YES-2610286+NO-2610291,1.25-2.00,1.57,2026-06-20T19:40:56.060000Z,2026-06-20T14:58:19.057000Z,2026-06-20T20:10:00Z,mlb-mil-atl-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,2
what-price-will-bitcoin-hit-in-june-2026::YES-2410561+NO-2410560,1.000-1.005,1.001,2026-06-20T19:42:43.653000Z,2026-06-16T22:40:20.433000Z,2026-07-01T04:00:00Z,what-price-will-bitcoin-hit-in-june-2026,BTC,middle_or_snapshot_audit,False,10.0,500.01,
mlb-wsh-tb-2026-06-20::YES-2614458+NO-2614460,1.16-1.25,1.21,2026-06-20T19:49:24.358000Z,2026-06-20T18:22:52.051000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,252.0,10.0,2
mlb-laa-oak-2026-06-20::YES-2616362+NO-2616360,1.25-2.00,1.43,2026-06-20T19:49:53.529000Z,2026-06-20T19:44:27.238000Z,2026-06-21T02:05:00Z,mlb-laa-oak-2026-06-20,MLB,middle_or_snapshot_audit,False,25.0,10.0,1
mlb-sd-tex-2026-06-20::YES-2610274+NO-2609014,1.25-2.00,1.33,2026-06-20T19:53:22.128000Z,2026-06-20T15:30:00.140000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,39.54,10.0,1
